,rmsd,pdb1,pdb2
0,0.2561047360500019,1dya,1l60
1,0.29839254748549093,1dyc,1l53
2,0.2796316133055439,1dyc,1l99
3,0.2649643259117195,1dyd,1l60
4,0.2639601927278406,1dye,1l53
5,0.2546695670277145,1dyf,1l53
6,0.2783935129616329,1dyg,1l53
7,0.2788111794828957,1l00,1l02
8,0.2874969069866066,1l00,1l05
9,0.3039973179405989,1l00,1l06
10,0.27692169295591956,1l00,1l07
11,0.2728564893554155,1l00,1l08
12,0.2596210962215327,1l00,1l09
13,0.2736529491398336,1l00,1l10
14,0.2653456385296728,1l00,1l12
15,0.2756688525591861,1l00,1l13
16,0.27273359018382315,1l00,1l14
17,0.2672039961584583,1l00,1l15
18,0.2921307564950173,1l00,1l16
19,0.25836375087246327,1l00,1l21
20,0.27458792188717807,1l00,1l29
21,0.27709304202899154,1l00,1l31
22,0.26375181175801893,1l00,1l33
23,0.2729209868133932,1l00,1l34
24,0.2574868754594925,1l00,1l47
25,0.3319688735201181,1l00,1l60
26,0.27881117948289513,1l02,1l00
27,0.342153847659249,1l02,1l53
28,0.2779196263234784,1l02,1l98
29,0.3238255704209559,1l02,1l99
30,0.30597108626645864,1l03,1l53
31,0.2948997203749542,1l03,1l99
32,0.28749690698660463,1l05,1l00
33,0.346599806345793,1l05,1l53
34,0.281405047294364,1l05,1l98
35,0.33104784960324657,1l05,1l99
36,0.30399731794059764,1l06,1l00
37,0.36710592935665315,1l06,1l53
38,0.2987380314086862,1l06,1l98
39,0.3501804286990145,1l06,1l99
40,0.276921692955919,1l07,1l00
41,0.33725119159273065,1l07,1l53
42,0.2738395547434783,1l07,1l98
43,0.32199351816393573,1l07,1l99
44,0.2728564893554095,1l08,1l00
45,0.33453263463508837,1l08,1l53
46,0.2725451138647662,1l08,1l98
47,0.31954179286671963,1l08,1l99
48,0.2596210962215298,1l09,1l00
49,0.312224857875606,1l09,1l53
50,0.2576885194355335,1l09,1l98
51,0.3033463934488742,1l09,1l99
52,0.27365294913983235,1l10,1l00
53,0.32896192341050967,1l10,1l53
54,0.2680226228601474,1l10,1l98
55,0.3195487454720514,1l10,1l99
56,0.2900433787763652,1l11,1l53
57,0.28543978914482415,1l11,1l99
58,0.26534563852966986,1l12,1l00
59,0.3232272002915224,1l12,1l53
60,0.2604062554979552,1l12,1l98
61,0.3115553175811606,1l12,1l99
62,0.2756688525591846,1l13,1l00
63,0.33586066632491324,1l13,1l53
64,0.27342601356190027,1l13,1l98
65,0.3222887210053164,1l13,1l99
66,0.27273359018382426,1l14,1l00
67,0.33384703831741164,1l14,1l53
68,0.2710249188908262,1l14,1l98
69,0.32014300282413055,1l14,1l99
70,0.26720399615846097,1l15,1l00
71,0.32413599716613456,1l15,1l53
72,0.2614660233997627,1l15,1l98
73,0.31404043648390784,1l15,1l99
74,0.2921307564950176,1l16,1l00
75,0.344549649939962,1l16,1l53
76,0.2981898991511743,1l16,1l98
77,0.322548910227453,1l16,1l99
78,0.2993080383891373,1l19,1l53
79,0.28088053719487266,1l19,1l99
80,0.28711119797295703,1l20,1l53
81,0.27972604479391033,1l20,1l99
82,0.25836375087246505,1l21,1l00
83,0.31771192627946265,1l21,1l53
84,0.3064792005656786,1l21,1l99
85,0.2846550683164024,1l22,1l53
86,0.2648197351031633,1l22,1l99
87,0.3052168469934646,1l23,1l53
88,0.29280546261514556,1l23,1l99
89,0.29302456800916776,1l24,1l53
90,0.2808881562304224,1l24,1l99
91,0.2536288384952797,1l25,1l53
92,0.26734541885512986,1l25,1l60
93,0.2701820672221542,1l25,1l99
94,0.30112022791402115,1l26,1l53
95,0.2989100516553529,1l26,1l99
96,0.29556713228387316,1l27,1l53
97,0.29283595125916606,1l27,1l99
98,0.2835455546815052,1l28,1l53
99,0.2788250361883087,1l28,1l99
100,0.27458792188717834,1l29,1l00
101,0.32489447119906384,1l29,1l53
102,0.2709489166073437,1l29,1l98
103,0.31684762364778885,1l29,1l99
104,0.2928172317019131,1l30,1l53
105,0.29135809012485636,1l30,1l99
106,0.27709304202899,1l31,1l00
107,0.3204870840292249,1l31,1l53
108,0.25761956420896337,1l31,1l60
109,0.26920821711438425,1l31,1l98
110,0.31538184971877115,1l31,1l99
111,0.29046352601316994,1l32,1l53
112,0.29497669318257,1l32,1l99
113,0.26375181175801815,1l33,1l00
114,0.3290712661919812,1l33,1l53
115,0.25288338763648355,1l33,1l98
116,0.30730151856685006,1l33,1l99
117,0.27292098681339266,1l34,1l00
118,0.33807909118603796,1l34,1l53
119,0.2724730646405561,1l34,1l98
120,0.3144907738872407,1l34,1l99
121,0.28733007983067216,1l37,1l53
122,0.26799113932818697,1l37,1l99
123,0.274606905224867,1l38,1l53
124,0.26195238186758285,1l38,1l99
125,0.2862190399803952,1l44,1l53
126,0.26917833478603026,1l44,1l99
127,0.26638812608063756,1l46,1l53
128,0.2535035210415435,1l46,1l99
129,0.2574868754594915,1l47,1l00
130,0.3145677419792869,1l47,1l53
131,0.29121119847165206,1l47,1l99
132,0.27333726719595924,1l48,1l53
133,0.2748774245262154,1l48,1l60
134,0.2655845230324983,1l48,1l99
135,0.2851565328104143,1l52,1l53
136,0.2726744418294155,1l52,1l99
137,0.2983925474854935,1l53,1dyc
138,0.26396019272783594,1l53,1dye
139,0.2546695670277139,1l53,1dyf
