,rmsd,pdb1,pdb2
0,0.2578733591923751,1dya,1dyb
1,0.26651509212334007,1dya,1dyc
2,0.2489793593286546,1dya,1dyf
3,0.30193683685525285,1dya,1dyg
4,0.2629757156350621,1dya,1l03
5,0.25085942770114283,1dya,1l08
6,0.27045131675856726,1dya,1l09
7,0.25382566009594787,1dya,1l10
8,0.28217116115434815,1dya,1l11
9,0.26756084813149444,1dya,1l12
10,0.2501338568418433,1dya,1l13
11,0.26084940816879826,1dya,1l14
12,0.2572488706445053,1dya,1l16
13,0.26847413778667145,1dya,1l19
14,0.25788738766187164,1dya,1l22
15,0.26856018440916646,1dya,1l23
16,0.2662267232782953,1dya,1l27
17,0.30581612177883966,1dya,1l28
18,0.26109185974729404,1dya,1l31
19,0.30131986903151653,1dya,1l32
20,0.29009652503248357,1dya,1l46
21,0.27236452961225743,1dya,1l52
22,0.26329025797388533,1dya,1l53
23,0.2668412498076659,1dya,1l69
24,0.2705889319095307,1dya,1l98
25,0.33284417616570383,1dya,1l99
26,0.2578733591923722,1dyb,1dya
27,0.27014675649460085,1dyb,1dyd
28,0.25482027875905744,1dyb,1l20
29,0.25081442612088334,1dyb,1l21
30,0.2672695075907505,1dyb,1l24
31,0.2775677257755589,1dyb,1l25
32,0.26530283075635025,1dyb,1l26
33,0.269066311976945,1dyb,1l29
34,0.2667874041717961,1dyb,1l30
35,0.2624854619265726,1dyb,1l37
36,0.2600839494232588,1dyb,1l38
37,0.2665072510058169,1dyb,1l48
38,0.2525264856024549,1dyb,1l60
39,0.3840732476013865,1dyb,1l99
40,0.26651509212333657,1dyc,1dya
41,0.2844117162177317,1dyc,1dyd
42,0.2599511509880528,1dyc,1l20
43,0.2555601705860811,1dyc,1l21
44,0.27602428279720564,1dyc,1l24
45,0.2794993540775923,1dyc,1l25
46,0.2642023549931483,1dyc,1l26
47,0.2705684725137864,1dyc,1l29
48,0.2680179169362745,1dyc,1l30
49,0.2656789127056348,1dyc,1l37
50,0.26446412783788564,1dyc,1l38
51,0.26544014614551625,1dyc,1l48
52,0.2526084684019797,1dyc,1l56
53,0.26008223825103116,1dyc,1l60
54,0.38318749835947435,1dyc,1l99
55,0.27014675649460584,1dyd,1dyb
56,0.2844117162177307,1dyd,1dyc
57,0.25033232320971255,1dyd,1dyf
58,0.3209469809303953,1dyd,1dyg
59,0.2737684179633127,1dyd,1l02
60,0.26789238098495827,1dyd,1l03
61,0.26120406863706946,1dyd,1l08
62,0.280025734051599,1dyd,1l09
63,0.25083424392907183,1dyd,1l10
64,0.303284889461503,1dyd,1l11
65,0.2816973458232053,1dyd,1l12
66,0.2672343796078989,1dyd,1l13
67,0.2719673766694944,1dyd,1l14
68,0.257442219142444,1dyd,1l16
69,0.2739604716730438,1dyd,1l19
70,0.2696430572223333,1dyd,1l22
71,0.2579410775602497,1dyd,1l23
72,0.2710214726208548,1dyd,1l27
73,0.3257598240496242,1dyd,1l28
74,0.2795066874741541,1dyd,1l31
75,0.32000110249919905,1dyd,1l32
76,0.30567934565522503,1dyd,1l46
77,0.24894737828077956,1dyd,1l47
78,0.2924995769765409,1dyd,1l52
79,0.2652890457844466,1dyd,1l53
80,0.24979899310738068,1dyd,1l57
81,0.28551846233370287,1dyd,1l69
82,0.28162151384733125,1dyd,1l98
83,0.25949034550355254,1dyd,1l99
84,0.35713484744318175,1dye,1l99
85,0.24897935932864934,1dyf,1dya
86,0.2503323232097112,1dyf,1dyd
87,0.2514258389809589,1dyf,1l24
88,0.2672415194876166,1dyf,1l25
89,0.2566732261970596,1dyf,1l26
90,0.25697052137724496,1dyf,1l29
91,0.2569316802199149,1dyf,1l30
92,0.2504774659805764,1dyf,1l48
93,0.3492334915057849,1dyf,1l99
94,0.30193683685524886,1dyg,1dya
95,0.32094698093039464,1dyg,1dyd
96,0.27210944540561605,1dyg,1l06
97,0.2710430264988744,1dyg,1l07
98,0.2927283813620138,1dyg,1l20
99,0.2868142200712722,1dyg,1l21
100,0.3123246677852153,1dyg,1l24
101,0.3123886737354663,1dyg,1l25
102,0.2948475742217536,1dyg,1l26
103,0.299004743577442,1dyg,1l29
104,0.3000048738166952,1dyg,1l30
105,0.2798118291476178,1dyg,1l34
106,0.29855164123407024,1dyg,1l37
107,0.29688803936465724,1dyg,1l38
108,0.27124908621159344,1dyg,1l45
109,0.2977363614685976,1dyg,1l48
110,0.285386772597087,1dyg,1l56
111,0.2671832101178246,1dyg,1l58
112,0.29339287388165547,1dyg,1l60
113,0.3932828286366337,1dyg,1l99
114,0.31811117230899905,1l00,1l99
