,rmsd,pdb1,pdb2
0,0.36766852323229776,1gb5,1gbz
1,0.4007098303054277,1gb5,1gft
2,0.346559426944156,1gb5,1gfu
3,0.3733966514271295,1gb5,1lhh
4,0.3426141612261843,1gb5,1lhk
5,0.35261212062835334,1gb5,1lhl
6,0.34261605908483994,1gb5,1oub
7,0.3623865904023877,1gb5,1ouc
8,0.3515223122309569,1gb5,1oue
9,0.3627992610227498,1gb5,1ouj
10,0.3493698417555077,1gb5,1wqo
11,0.34249570197693124,1gb6,1gft
12,0.35426695881387693,1gb7,1ouj
13,0.34377281533670406,1gb9,1gbz
14,0.37072145865102485,1gb9,1gft
15,0.35174670173407335,1gbo,1gbz
16,0.37109419152699685,1gbo,1gft
17,0.34502912505051875,1gbx,1gft
18,0.3676685232322969,1gbz,1gb5
19,0.3437728153367035,1gbz,1gb9
20,0.3517467017340781,1gbz,1gbo
21,0.377310307114562,1gbz,1gfh
22,0.4853029142413297,1gbz,1lhh
23,0.44509628521118416,1gbz,1lhi
24,0.4494703911660858,1gbz,1lhj
25,0.47890216231173793,1gbz,1lhk
26,0.48100529149196125,1gbz,1lhl
27,0.4590852105760221,1gbz,1oub
28,0.48967522814663655,1gbz,1ouc
29,0.47203225530302706,1gbz,1oud
30,0.49365034051461437,1gbz,1oue
31,0.45034420148798204,1gbz,1ouh
32,0.4728365493117503,1gbz,1oui
33,0.5061977719023455,1gbz,1ouj
34,0.44560474381015985,1gbz,1wqm
35,0.4631477701934118,1gbz,1wqn
36,0.48325551405654005,1gbz,1wqo
37,0.44686300793736733,1gbz,1wqp
38,0.477522345726719,1gbz,1wqq
39,0.4585578985048603,1gbz,1wqr
40,0.4745307850899543,1gbz,1yam
41,0.46086559324972826,1gbz,1yan
42,0.4315531873344244,1gbz,1yao
43,0.4494998639555854,1gbz,1yap
44,0.44618121874894506,1gbz,1yaq
45,0.4647773136917694,1gbz,2hea
46,0.4449568436603808,1gbz,2heb
47,0.47094655614290315,1gbz,2hec
48,0.40614103290336734,1gbz,2hed
49,0.432510468452306,1gbz,2hee
50,0.4445771040839576,1gbz,2hef
